Time,Region,Good,value
2020,MEA,Plastic Waste,0.0159923903668364
2020,REF,Plastic Waste,0.0231516263754653
2020,CAZ,Plastic Waste,0.0327494165191472
2020,CHA,Plastic Waste,5.37011992517171e-05
2020,IND,Plastic Waste,0.00152667312582382
2020,JPN,Plastic Waste,0.00182999828675851
2020,USA,Plastic Waste,0.0588540891644319
2021,LAM,Plastic Waste,0.0414835358579786
2021,OAS,Plastic Waste,0.195111557889855
2021,SSA,Plastic Waste,0.00594993342146721
2021,EUR,Plastic Waste,0.455923397632816
2021,NEU,Plastic Waste,0.110952766296202
2021,MEA,Plastic Waste,0.00964492246051307
2021,REF,Plastic Waste,0.0195061952699359
2021,CAZ,Plastic Waste,0.0297804462315594
2021,CHA,Plastic Waste,0.0496988725875741
2021,IND,Plastic Waste,0.00899123960382785
2021,JPN,Plastic Waste,0.0015652529386593
2021,USA,Plastic Waste,0.0713918798096117
2022,LAM,Plastic Waste,0.0357143416575803
2022,OAS,Plastic Waste,0.168890568589134
2022,SSA,Plastic Waste,0.0059633314284811
2022,EUR,Plastic Waste,0.521521436280415
2022,NEU,Plastic Waste,0.117638983842743
2022,MEA,Plastic Waste,0.00632944469119393
2022,REF,Plastic Waste,0.00967501645088863
2022,CAZ,Plastic Waste,0.0257337324172005
2022,CHA,Plastic Waste,0.0409742115855552
2022,IND,Plastic Waste,0.0133862742699558
2022,JPN,Plastic Waste,0.00118805248962003
2022,USA,Plastic Waste,0.0529846062972336
2023,LAM,Plastic Waste,0.0357143416575803
2023,OAS,Plastic Waste,0.168890568589134
2023,SSA,Plastic Waste,0.0059633314284811
2023,EUR,Plastic Waste,0.521521436280415
2023,NEU,Plastic Waste,0.117638983842743
2023,MEA,Plastic Waste,0.00632944469119393
2023,REF,Plastic Waste,0.00967501645088863
2023,CAZ,Plastic Waste,0.0257337324172005
2023,CHA,Plastic Waste,0.0409742115855552
2023,IND,Plastic Waste,0.0133862742699558
2023,JPN,Plastic Waste,0.00118805248962003
2023,USA,Plastic Waste,0.0529846062972336
2024,LAM,Plastic Waste,0.0357143416575803
2024,OAS,Plastic Waste,0.168890568589134
2024,SSA,Plastic Waste,0.0059633314284811
