Material,Time,value
PET,2022,0.22666666666666668
PET,2023,0.24
PET,2024,0.25333333333333335
PET,2025,0.26666666666666666
PET,2026,0.28
PET,2027,0.29333333333333333
PET,2028,0.30666666666666664
PET,2029,0.32
PET,2030,0.33333333333333337
PET,2031,0.3466666666666667
PET,2032,0.36
PET,2033,0.3733333333333333
PET,2034,0.38666666666666666
PET,2035,0.4
PET,2036,0.41333333333333333
PET,2037,0.42666666666666664
PET,2038,0.44
PET,2039,0.4533333333333333
PET,2040,0.4666666666666667
PET,2041,0.48
PET,2042,0.49333333333333335
PET,2043,0.5066666666666666
PET,2044,0.52
PET,2045,0.5333333333333333
PET,2046,0.5466666666666666
PET,2047,0.56
PET,2048,0.5733333333333333
PET,2049,0.5866666666666667
PET,2050,0.6
PET,2051,0.6
PET,2052,0.6
PET,2053,0.6
PET,2054,0.6
PET,2055,0.6
PET,2056,0.6
PET,2057,0.6
PET,2058,0.6
PET,2059,0.6
PET,2060,0.6
PET,2061,0.6
PET,2062,0.6
PET,2063,0.6
PET,2064,0.6
PET,2065,0.6
PET,2066,0.6
PET,2067,0.6
PET,2068,0.6
PET,2069,0.6
PET,2070,0.6
PET,2071,0.6
PET,2072,0.6
PET,2073,0.6
PET,2074,0.6
PET,2075,0.6
PET,2076,0.6
PET,2077,0.6
PET,2078,0.6
PET,2079,0.6
PET,2080,0.6
PET,2081,0.6
PET,2082,0.6
PET,2083,0.6
PET,2084,0.6
PET,2085,0.6
PET,2086,0.6
PET,2087,0.6
PET,2088,0.6
PET,2089,0.6
PET,2090,0.6
PET,2091,0.6
PET,2092,0.6
PET,2093,0.6
PET,2094,0.6
PET,2095,0.6
PET,2096,0.6
PET,2097,0.6
PET,2098,0.6
PET,2099,0.6
PET,2100,0.6
PP,1950,0.2
PP,1951,0.2
PP,1952,0.2
PP,1953,0.2
PP,1954,0.2
PP,1955,0.2
PP,1956,0.2
PP,1957,0.2
PP,1958,0.2
PP,1959,0.2
PP,1960,0.2
PP,1961,0.2
PP,1962,0.2
PP,1963,0.2
PP,1964,0.2
PP,1965,0.2
PP,1966,0.2
PP,1967,0.2
PP,1968,0.2
PP,1969,0.2
PP,1970,0.2
PP,1971,0.2
PP,1972,0.2
PP,1973,0.2
PP,1974,0.2
PP,1975,0.2
PP,1976,0.2
PP,1977,0.2
PP,1978,0.2
PP,1979,0.2
PP,1980,0.2
PP,1981,0.2
PP,1982,0.2
PP,1983,0.2
PP,1984,0.2
PP,1985,0.2
PP,1986,0.2
PP,1987,0.2
PP,1988,0.2
PP,1989,0.2
PP,1990,0.2
PP,1991,0.2
PP,1992,0.2
PP,1993,0.2
PP,1994,0.2
PP,1995,0.2
PP,1996,0.2
PP,1997,0.2
PP,1998,0.2
PP,1999,0.2
PP,2000,0.2
PP,2001,0.2
PP,2002,0.2
PP,2003,0.2
PP,2004,0.2
PP,2005,0.2
PP,2006,0.2
PP,2007,0.2
PP,2008,0.2
PP,2009,0.2
PP,2010,0.2
PP,2011,0.2
PP,2012,0.2
PP,2013,0.2
PP,2014,0.2
PP,2015,0.2
PP,2016,0.2
PP,2017,0.2
PP,2018,0.2
PP,2019,0.2
PP,2020,0.2
PP,2021,0.21333333333333335
PP,2022,0.22666666666666668
PP,2023,0.24
PP,2024,0.25333333333333335
PP,2025,0.26666666666666666
PP,2026,0.28
PP,2027,0.29333333333333333
PP,2028,0.30666666666666664
PP,2029,0.32
PP,2030,0.33333333333333337
PP,2031,0.3466666666666667
PP,2032,0.36
PP,2033,0.3733333333333333
PP,2034,0.38666666666666666
PP,2035,0.4
PP,2036,0.41333333333333333
PP,2037,0.42666666666666664
PP,2038,0.44
PP,2039,0.4533333333333333
PP,2040,0.4666666666666667
PP,2041,0.48
PP,2042,0.49333333333333335
PP,2043,0.5066666666666666
PP,2044,0.52
PP,2045,0.5333333333333333
PP,2046,0.5466666666666666
PP,2047,0.56
PP,2048,0.5733333333333333
PP,2049,0.5866666666666667
